Government transparency enables the public to hold the government accountable for how they spend their money.,OTHER,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,OTHER,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,OTHER,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,OTHER,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,OTHER,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,OTHER,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,OTHER,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",OTHER,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,OTHER,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,OTHER,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",OTHER,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,OTHER,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,OTHER,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,OTHER,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",OTHER,ACHIEVING POWER IS MOVING UPWARDS
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,OTHER,ACHIEVING POWER IS MOVING UPWARDS
We pitched them the idea and they ate it right up.,OTHER,ACQUIRING IDEAS IS EATING
He's been feeding her lies all these years.,OTHER,ACQUIRING IDEAS IS EATING
This article is hard to digest.,OTHER,ACQUIRING IDEAS IS EATING
The car is in motion.,OTHER,ACTION IS BEING IN A LOCATION
I'm going to leave.,OTHER,ACTION IS BEING IN A LOCATION
She's close to resigning.,OTHER,ACTION IS BEING IN A LOCATION
Devastation from the hurricane thrust the nation into recession.,OTHER,ACTION IS MOTION ALONG A PATH
Congress' refusal to compromise is moving the country toward economic ruin.,OTHER,ACTION IS MOTION ALONG A PATH
This computer program turns the power on and off.,OTHER,ACTION IS MOTION
He exercised to the point of exhaustion.,OTHER,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She squeezed her way to thinner thighs.,OTHER,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
He drank himself out of the promotion.,OTHER,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
He went on with what he was doing.,OTHER,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She went back to sleep.,OTHER,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
She successfully navigated her way through the contract negotiations.,OTHER,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
How did Jerry get out of washing the windows?,OTHER,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
"Outside of washing the windows, what else did you do?",OTHER,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
I put a lot of energy into washing the windows.,OTHER,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
I get a lot of satisfaction out of washing windows.,OTHER,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
Do it over.,OTHER,ACTIVITIES ARE JOURNEYS
"In the course of the investigation, new evidence was found.",OTHER,ACTIVITIES ARE JOURNEYS
Follow along as I assemble this.,OTHER,ACTIVITIES ARE JOURNEYS
Follow these steps in assembly.,OTHER,ACTIVITIES ARE JOURNEYS
"Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public.",OTHER,ADDRESSING CRIME IS CONTROLLING AN ANIMAL
Improving access to education is the only sure way to cure us of poverty.,OTHER,ADDRESSING POVERTY IS TREATING AN ILLNESS
Debt Ceiling Deal: Wrong Diagnosis Leads to Wrong Treatment for What Ails the Economy,OTHER,ADDRESSING SOCIAL PROBLEMS IS TREATING AN ILLNESS
"The most powerful weapon in the war against obesity might be something we all understand: cold, hard cash.",OTHER,ADDRESSING SOCIAL PROBLEMS IS WAGING WAR
How America's losing the war on poverty,OTHER,ADDRESSING SOCIAL PROBLEMS IS WAGING WAR
"Of course, gun control fanatics pay little attention to facts.",OTHER,ADVOCATING GUN CONTROL IS ZEALOTRY
She's warming up to her new brother-in-law.,OTHER,AFFECTION IS WARMTH
We're finally on the same page.,OTHER,AGREEMENT IS PHYSICAL PROXIMITY
Who's with me?,OTHER,AGREEMENT IS PHYSICAL PROXIMITY
Ecologists Shed New Light On Effects of Light Pollution On Wildlife,OTHER,AID TO KNOWING IS A LIGHT SOURCE
There seems to be growing friendship between Shia Iran and its Sunni-dominated neighbours.,OTHER,ALLIANCES ARE FRIENDSHIPS
"Fitch said in a report on Dec. 19 that it expected Congress to find a way to pull back from the “fiscal cliff,” but that it would not be “a credible plan to reduce the federal budget deficit and stabilize government debt over the medium term.”",OTHER,ALTERNATIVE LEGISLATION IS ALTERNATIVE PATH
He started going down a bad life path.,OTHER,ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS
We have not found a way to stem this rising flood of gun violence.,OTHER,AMOUNT OF GUN VIOLENCE IS A FLUID
We are drowning in an ocean of gun violence.,OTHER,AMOUNT OF GUN VIOLENCE IS A FLUID
flood of guns,OTHER,AMOUNT OF GUNS IS A FLUID
WE CANNOT HAVE ISLANDS OF PROSPERITY NEXT TO OCEANS OF POVERTY AND SQUALOR,OTHER,AMOUNT OF POVERTY IS SIZE OF GEOGRAPHIC FEATURE
"President Obama said the international community has made great strides toward locking down loose nuclear material, but warned the threat of nuclear materials falling into the hands of terrorist remains.",OTHER,AMOUNT OF PROGRESS IS AMOUNT OF DISTANCE MOVED
"Senate Majority Leader Harry Reid, D-Nevada, told reporters that the next 24 hours would be ""very important"" toward efforts to reach a deal to lessen the harshest impacts of the fiscal cliff, a combination of broad tax hikes and deep spending cuts due to take effect at the start of the new year.",OTHER,AMOUNT OF PROGRESS TOWARD ENACTING LEGISLATION IS DISTANCE MOVED ALONG A PATH
"The hallways are filled with the sounds of middle school students, primarily eighth graders, dissecting the second presidential debate from the evening before.",OTHER,ANALYZING IS DISSECTING
Those are inflammatory remarks.,OTHER,ANGER IS FIRE
She was doing a slow burn.,OTHER,ANGER IS FIRE
She was breathing fire.,OTHER,ANGER IS FIRE
Your insincere apology just added fuel to the fire.,OTHER,ANGER IS FIRE
"After the argument, Dave was smoldering for days.",OTHER,ANGER IS FIRE
He was consumed by his anger.,OTHER,ANGER IS FIRE
He's seeing red.,OTHER,ANGER IS FIRE
He has a hot temper.,OTHER,ANGER IS HEAT
He's burning with rage.,OTHER,ANGER IS HEAT
"I just touched him, and he went crazy.",OTHER,ANGER IS INSANITY
You're driving me nuts!,OTHER,ANGER IS INSANITY
I'm mad!,OTHER,ANGER IS INSANITY
"When the up threw him out of the game, Billy started foaming at the mouth.",OTHER,ANGER IS INSANITY
"If anything else goes wrong, I'll get hysterical.",OTHER,ANGER IS INSANITY
"He got so angry, he went out of his mind.",OTHER,ANGER IS INSANITY
"When my mother finds out, she'll have a fit.",OTHER,ANGER IS INSANITY
He's tearing his hair out!,OTHER,ANGER IS INSANITY
The loud music next door has got him climbing the walls!,OTHER,ANGER IS INSANITY
He was just about to burst with anger.,OTHER,ANGER IS PRESSURE IN A CONTAINER
You make my blood boil.,OTHER,ANGER IS THE HEAT OF FLUID IN A CONTAINER
I had reached the boiling point.,OTHER,ANGER IS THE HEAT OF FLUID IN A CONTAINER
Your claims are indefensible.,OTHER,ARGUMENT IS PHYSICAL COMBAT
He attacked every weak point in my argument.,OTHER,ARGUMENT IS PHYSICAL COMBAT
His criticisms were right on target.,OTHER,ARGUMENT IS WAR
I blew his argument out of the water.,OTHER,ARGUMENT IS PHYSICAL COMBAT
I've never won an argument with him.,OTHER,ARGUMENT IS PHYSICAL COMBAT
"You disagree? OK, shoot!",OTHER,ARGUMENT IS PHYSICAL COMBAT
"If you use that strategy, he'll wipe you out.",OTHER,ARGUMENT IS PHYSICAL COMBAT
He shot down all of my arguments.,OTHER,ARGUMENT IS PHYSICAL COMBAT
He bombarded them with clever arguments.,OTHER,ARGUMENT IS WAR
His criticisms were right on target.,OTHER,ARGUMENT IS WAR
Five is made up of two plus three.,OTHER,ARITHMETIC IS OBJECT CONSTRUCTION
"If you put 2 and 2 together, you get 4.",OTHER,ARITHMETIC IS OBJECT CONSTRUCTION
We need to know how big of a problem that is.,OTHER,ASSESSING IS MEASURING
Our conservation program needs your support.,OTHER,HELP IS PHYSICAL SUPPORT
I've really been leaning on my friends the past few months.,OTHER,HELP IS PHYSICAL SUPPORT
"You could talk about the dealerships, auto dealerships that were closed down when the government got control of a couple of the auto companies, an awful lot of people lost jobs, businesses were closed, and so on.",OTHER,ATTAINING CONTROL IS GAINING A POSSESSION
"The Shadow Party: How George Soros, Hillary Clinton, and Sixties Radicals Seized Control of the Democratic Party",OTHER,ATTAINING CONTROL IS GAINING A POSSESSION
"If you soak it in water, the wood will lose its rigidity.",OTHER,ATTRIBUTES ARE ENTITIES
She has a sunny disposition.,OTHER,ATTRIBUTES ARE POSSESSIONS
This place has lost a lot of its charm.,OTHER,ATTRIBUTES ARE POSSESSIONS
The new mustache gave him an older appearance.,OTHER,ATTRIBUTES ARE POSSESSIONS
"In a democratic government, authority is given to it by the people.",OTHER,ATTRIBUTES OF GOVERNMENT ARE ENTITIES
This movie stinks!,OTHER,BAD IS STINKY
He's no longer with us.,OTHER,BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION
He's gone / departed.,OTHER,BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION
