Government transparency enables the public to hold the government accountable for how they spend their money.,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,BEING IMPOVERISHED IS BEING IN A BOUNDED REGION,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,ANALYZING IS DISSECTING,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,EMOTIONALLY INDIFFERENT IS COLD,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,EXISTENCE IS VISIBILITY,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,CONSIDERING THE IMPORTANCE OF RIGHTS IS PLAYING A GAME,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",GOVERNMENT AND CITIZENS ARE PARTNERS,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,ACTION IS BEING IN A LOCATION,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,ABILITY TO EVALUATE IS ABILITY TO SEE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",ABILITY TO EVALUATE IS ABILITY TO SEE,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,OTHER,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,HIGH STATUS IS UP,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,END OF AN ACTION IS THE END OF A PATH,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,ABILITY TO EVALUATE IS ABILITY TO SEE,ACHIEVING A PURPOSE IS REACHING A DESTINATION
