Government transparency enables the public to hold the government accountable for how they spend their money.,ATTRIBUTES OF GOVERNMENT ARE ENTITIES,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,ASSISTANCE IS SUPPORT,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,MAKING A DECISION IS WEIGHING,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,DEMOCRACY IS A FACADE,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,ANALYZING IS DISSECTING,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,ATTRIBUTES OF GOVERNMENT ARE ENTITIES,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,THINKING IS OBJECT MANIPULATION,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",CREATING IS MAKING,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,COMMUNICATING IS SHOWING,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,COMMUNICATING IS SHOWING,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",COMMUNICATING IS SHOWING,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,COMMUNICATING IS SHOWING,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,COMMUNICATING IS SHOWING,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,COMMUNICATING IS SHOWING,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,COMMUNICATING IS SHOWING,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,INCREASE EASE OF ACTION IS INCREASE EASE OF MOTION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
